ATCOCode	CommonName	Lon	Lat	NatGazLocality
45030050	A22	-1.75067	53.79135	Bradford City Centre
45030051	A21	-1.75084	53.79132	Bradford City Centre
45030052	A20	-1.75099	53.79129	Bradford City Centre
45030053	A19	-1.75116	53.79128	Bradford City Centre
45030054	A18	-1.75136	53.79124	Bradford City Centre
45030055	A17	-1.75149	53.79122	Bradford City Centre
45030056	A16	-1.75164	53.7912	Bradford City Centre
45030057	A15	-1.75177	53.79119	Bradford City Centre
45030058	A14	-1.7519	53.79116	Bradford City Centre
45030059	A13	-1.75202	53.79114	Bradford City Centre
45030060	A1	-1.75046	53.79142	Bradford City Centre
45030061	A2	-1.75055	53.7914	Bradford City Centre
45030062	A3	-1.75072	53.79138	Bradford City Centre
45030063	A4	-1.75085	53.79137	Bradford City Centre
45030064	A5	-1.75102	53.79134	Bradford City Centre
45030065	A6	-1.7512	53.7913	Bradford City Centre
45030066	A7	-1.75137	53.79129	Bradford City Centre
45030067	A8	-1.75151	53.79127	Bradford City Centre
45030068	A9	-1.75166	53.79125	Bradford City Centre
45030069	A10	-1.7518	53.79122	Bradford City Centre
45030070	A11	-1.75192	53.79121	Bradford City Centre
45030071	A12	-1.75201	53.7912	Bradford City Centre
45030072	S1 Shipley Market Place	-1.77689	53.83366	Shipley (Bradford)
45030073	Shipley Market Square S2	-1.77684	53.83357	Shipley (Bradford)
45030074	Shipley Market Square S3	-1.77677	53.83332	Shipley (Bradford)
45030075	Shipley Market Square S4	-1.77674	53.8332	Shipley (Bradford)
45030076	Shipley Market Square S5	-1.77676	53.83304	Shipley (Bradford)
45030077	Shipley Market Square S6	-1.77701	53.83332	Shipley (Bradford)
45030078	Shipley Market Square S7	-1.77704	53.83343	Shipley (Bradford)
45030079	Shipley Market Square S8	-1.77712	53.83366	Shipley (Bradford)
45030080	Shipley Market Square S9	-1.77716	53.83377	Shipley (Bradford)
45030081	Stand A Smiddles Lane Bus Station	-1.76362	53.77227	Bankfoot (Bradford)
45030082	Stand B Smiddles Lane Bus Station	-1.76368	53.77219	Bankfoot (Bradford)
45030083	Stand C Smiddles Lane Bus Station	-1.76383	53.77216	Bankfoot (Bradford)
45030084	Stand A Keighley Bus Station	-1.9086	53.86723	Keighley
45030085	Stand B Keighley Bus Station	-1.90853	53.86724	Keighley
45030086	Stand C Keighley Bus Station	-1.90847	53.86726	Keighley
45030087	Stand D Keighley Bus Station	-1.90839	53.86727	Keighley
45030088	Stand E Keighley Bus Station	-1.90835	53.86729	Keighley
45030089	Stand F Keighley Bus Station	-1.90828	53.8673	Keighley
45030090	Stand G Keighley Bus Station	-1.90821	53.86731	Keighley
45030091	Stand H Keighley Bus Station	-1.90813	53.86733	Keighley
45030092	Stand J Keighley Bus Station	-1.90806	53.86734	Keighley
45030093	Stand K Keighley Bus Station	-1.90797	53.86737	Keighley
45030094	Stand L Keighley Bus Station	-1.90789	53.86739	Keighley
45030095	Stand M Keighley Bus Station	-1.9078	53.86741	Keighley
45030096	Stand N Keighley Bus Station	-1.90771	53.86743	Keighley
45030097	Stand O Keighley Bus Station	-1.90758	53.86746	Keighley
45030098	Stand P Keighley Bus Station	-1.90749	53.86749	Keighley
45030099	Stand 18 Keighley Bus Station	-1.90745	53.86748	Keighley
45030100	Stand 19 Keighley Bus Station	-1.90746	53.8676	Keighley
45030101	Stand 20 Keighley Bus Station	-1.90748	53.86784	Keighley
45030102	Stand P1 Pudsey Bus Station	-1.66361	53.79597	Pudsey
45030103	Stand P2 Pudsey Bus Station	-1.6635	53.79593	Pudsey
45030104	Stand P3 Pudsey Bus Station	-1.66343	53.79587	Pudsey
45030105	Stand A - Holmfirth Bus Station	-1.78627	53.57032	Holmfirth
45030106	Stand B - Holmfirth Bus Station	-1.78637	53.57054	Holmfirth
45030107	Stand C - Holmfirth Bus Station	-1.78645	53.57073	Holmfirth
45030108	Stand D - Holmfirth Bus Station	-1.78634	53.5709	Holmfirth
45030109	1	-1.71183	53.72211	Cleckheaton
45030110	2	-1.71238	53.72201	Cleckheaton
45030111	3	-1.71221	53.72214	Cleckheaton
45030112	4	-1.71184	53.72221	Cleckheaton
45030113	5	-1.71172	53.72223	Cleckheaton
45030114	6	-1.71177	53.72224	Cleckheaton
45030115	7	-1.71194	53.7222	Cleckheaton
45030116	8	-1.71241	53.72212	Cleckheaton
45030117	10	-1.71213	53.72227	Cleckheaton
45030118	11	-1.7118	53.72233	Cleckheaton
45030119	Stand F Brighouse Bus Station	-1.78026	53.70271	Brighouse
45030120	Stand A Brighouse Bus Station	-1.78043	53.70274	Brighouse
45030121	Stand E Brighouse Bus Station	-1.78046	53.70267	Brighouse
45030122	Stand N1 Brighouse Bus Station	-1.78066	53.70271	Brighouse
45030123	Stand N2 Brighouse Bus Station	-1.78063	53.70266	Brighouse
45030124	Stand 18 Dewsbury Bus Station	-1.63193	53.68997	Dewsbury
45030125	Stand 19 Dewsbury Bus Station	-1.63206	53.68996	Dewsbury
45030126	Stand 17 Dewsbury Bus Station	-1.63174	53.68985	Dewsbury
45030127	Stand 16 Dewsbury Bus Station	-1.63199	53.68981	Dewsbury
45030128	Stand 1 Dewsbury Bus Station	-1.63084	53.68987	Dewsbury
45030129	Stand 2 Dewsbury Bus Station	-1.63093	53.68987	Dewsbury
45030130	Stand 3 Dewsbury Bus Station	-1.631	53.68985	Dewsbury
45030131	Stand 4 Dewsbury Bus Station	-1.63109	53.68983	Dewsbury
45030132	Stand 5 Dewsbury Bus Station	-1.63117	53.68981	Dewsbury
45030133	Stand 6 Dewsbury Bus Station	-1.63125	53.6898	Dewsbury
45030134	Stand 7 Dewsbury Bus Station	-1.63132	53.68979	Dewsbury
45030135	Stand 8 Dewsbury Bus Station	-1.6314	53.68977	Dewsbury
45030136	Stand 9 Dewsbury Bus Station	-1.63147	53.68975	Dewsbury
45030137	Stand 10 Dewsbury Bus Station	-1.63155	53.68974	Dewsbury
45030138	Stand 11 Dewsbury Bus Station	-1.63164	53.68972	Dewsbury
45030139	Stand 12 Dewsbury Bus Station	-1.63172	53.68971	Dewsbury
45030140	Stand 13 Dewsbury Bus Station	-1.63179	53.68969	Dewsbury
45030141	Stand 14 Dewsbury Bus Station	-1.63188	53.68967	Dewsbury
45030142	Stand 15 Dewsbury Bus Station	-1.63196	53.68965	Dewsbury
45030143	Stand B Huddersfield Bus Station	-1.78675	53.64594	Huddersfield Town Centre
45030144	Stand D Huddersfield Bus Station	-1.78673	53.64587	Huddersfield Town Centre
45030145	Stand E Huddersfield Bus Station	-1.78675	53.64583	Huddersfield Town Centre
45030146	Stand F Huddersfield Bus Station	-1.78675	53.64578	Huddersfield Town Centre
45030147	Stand G Huddersfield Bus Station	-1.78675	53.64573	Huddersfield Town Centre
45030148	Stand H Huddersfield Bus Station	-1.78675	53.64568	Huddersfield Town Centre
45030149	Stand J Huddersfield Bus Station	-1.78676	53.64563	Huddersfield Town Centre
45030150	Stand K Huddersfield Bus Station	-1.78676	53.64559	Huddersfield Town Centre
45030151	Stand L Huddersfield Bus Station	-1.78678	53.64555	Huddersfield Town Centre
45030152	Stand M Huddersfield Bus Station	-1.78678	53.6455	Huddersfield Town Centre
45030153	Stand N Huddersfield Bus Station	-1.78678	53.64545	Huddersfield Town Centre
45030154	Stand O Huddersfield Bus Station	-1.78678	53.64541	Huddersfield Town Centre
45030155	Stand P Huddersfield Bus Station	-1.7868	53.64538	Huddersfield Town Centre
45030156	Stand Q Huddersfield Bus Station	-1.7868	53.64534	Huddersfield Town Centre
45030157	Stand R Huddersfield Bus Station	-1.7868	53.64531	Huddersfield Town Centre
45030158	Stand S Huddersfield Bus Station	-1.7868	53.64527	Huddersfield Town Centre
45030159	Stand T Huddersfield Bus Station	-1.78681	53.64523	Huddersfield Town Centre
45030160	Stand U Huddersfield Bus Station	-1.78681	53.6452	Huddersfield Town Centre
45030161	Stand V Huddersfield Bus Station	-1.78681	53.64515	Huddersfield Town Centre
45030162	Stand W Huddersfield Bus Station	-1.78681	53.64511	Huddersfield Town Centre
45030163	Stand Y Huddersfield Bus Station	-1.78683	53.64503	Huddersfield Town Centre
45030164	Stand Z Huddersfield Bus Station	-1.78683	53.64499	Huddersfield Town Centre
45030165	Stand 1 Huddersfield Bus Station	-1.78629	53.64642	Huddersfield Town Centre
45030166	Stand 2 Huddersfield Bus Station	-1.78646	53.64629	Huddersfield Town Centre
45030167	Stand 3 Huddersfield Bus Station	-1.78661	53.64617	Huddersfield Town Centre
45030168	Stand A Huddersfield Bus Station	-1.78675	53.646	Huddersfield Town Centre
45030169	Stand C Huddersfield Bus Station	-1.78673	53.64591	Huddersfield Town Centre
45030170	Stand X Huddersfield Bus Station	-1.78683	53.64507	Huddersfield Town Centre
45030171	Stand 29 Huddersfield Bus Station	-1.78683	53.64505	Huddersfield Town Centre
45030172	Stand 30 Huddersfield Bus Station	-1.78684	53.64502	Huddersfield Town Centre
45030173	Stand A Ilkley Bus Station	-1.82163	53.92461	Ilkley
45030174	Stand B Ilkley Bus Station	-1.82113	53.92467	Ilkley
45030175	Stand C Ilkley Bus  Station	-1.82093	53.92465	Ilkley
45030176	Stand 06 Otley Bus Station	-1.6926	53.90478	Otley (W Yorks)
45030177	Stand 01 Otley Bus Station	-1.69261	53.90492	Otley (W Yorks)
45030178	Stand 02 Otley Bus Station	-1.69258	53.90496	Otley (W Yorks)
45030179	Stand 03 Otley Bus Station	-1.69251	53.90499	Otley (W Yorks)
45030180	Stand 04 Otley Bus Station	-1.69241	53.905	Otley (W Yorks)
45030181	W2	-1.38684	53.92716	Wetherby
45030182	Stand 2 Wakefield Bus Station	-1.49772	53.6853	Wakefield City Centre
45030183	Stand 3 Wakefield Bus Station	-1.49775	53.68534	Wakefield City Centre
45030184	Stand 4 Wakefield Bus Station	-1.49776	53.68537	Wakefield City Centre
45030185	Stand 5 Wakefield Bus Station	-1.49778	53.68541	Wakefield City Centre
45030186	Stand 6 Wakefield Bus Station	-1.49781	53.68545	Wakefield City Centre
45030187	Stand 7 Wakefield Bus Station	-1.49782	53.68548	Wakefield City Centre
45030188	Stand 8 Wakefield Bus Station	-1.49785	53.68552	Wakefield City Centre
45030189	Stand 9 Wakefield Bus Station	-1.49787	53.68554	Wakefield City Centre
45030190	Stand 10 Wakefield Bus Station	-1.4979	53.68558	Wakefield City Centre
45030191	Stand 11 Wakefield Bus Station	-1.49791	53.68562	Wakefield City Centre
45030192	Stand 12 Wakefield Bus Station	-1.49793	53.68565	Wakefield City Centre
45030193	Stand 13 Wakefield Bus Station	-1.49796	53.68569	Wakefield City Centre
45030194	Stand 14 Wakefield Bus Station	-1.49797	53.68572	Wakefield City Centre
45030195	Stand 15 Wakefield Bus Station	-1.498	53.68575	Wakefield City Centre
45030196	Stand 16 Wakefield Bus Station	-1.49802	53.68579	Wakefield City Centre
45030197	Stand 17 Wakefield Bus Station	-1.49803	53.68582	Wakefield City Centre
45030198	Stand 18 Wakefield Bus Station	-1.49806	53.68586	Wakefield City Centre
45030199	Stand 19 Wakefield Bus Station	-1.49809	53.6859	Wakefield City Centre
45030200	Stand 20 Wakefield Bus Station	-1.49811	53.68593	Wakefield City Centre
45030201	Stand 21 Wakefield Bus Station	-1.49812	53.68597	Wakefield City Centre
45030202	Stand 22 Wakefield Bus Station	-1.49814	53.686	Wakefield City Centre
45030203	Stand 23 Wakefield Bus Station	-1.49816	53.68604	Wakefield City Centre
45030204	Stand 24 Wakefield Bus Station	-1.49813	53.68608	Wakefield City Centre
45030205	Stand A1 Castleford Bus Station	-1.35754	53.72494	Castleford
45030206	Stand A2 Castleford Bus Station	-1.35778	53.72484	Castleford
45030207	Stand A3 Castleford Bus Station	-1.35801	53.72472	Castleford
45030208	Stand B1 Castleford Bus Station	-1.35746	53.72484	Castleford
45030209	Stand B2 Castleford Bus Station	-1.35763	53.72475	Castleford
45030210	Stand B3 Castleford Bus Station	-1.35791	53.72463	Castleford
45030211	Stand B4 Castleford Bus Station	-1.35811	53.72453	Castleford
45030212	Stand C1 Castleford Bus Station	-1.35736	53.72476	Castleford
45030213	Stand C2 Castleford Bus Station	-1.35754	53.72467	Castleford
45030214	Stand C3 Castleford Bus Station	-1.35779	53.72455	Castleford
45030215	Stand C4 Castleford Bus Station	-1.35802	53.72444	Castleford
45030216	Stand D1 Castleford Bus Station	-1.35727	53.72467	Castleford
45030217	Stand D2 Castleford Bus Station	-1.35747	53.72458	Castleford
45030218	Stand D3 Castleford Bus Station	-1.35771	53.72447	Castleford
45030219	Stand D4 Castleford Bus Station	-1.35797	53.72435	Castleford
45030220	Stand 1 Leeds City Bus Station	-1.5357	53.7967	Leeds City Bus Station
45030221	Stand 2 Leeds City Bus Station	-1.53569	53.79674	Leeds City Bus Station
45030222	Stand 3 Leeds City Bus Station	-1.53569	53.79678	Leeds City Bus Station
45030223	Stand 4 Leeds City Bus Station	-1.53569	53.79682	Leeds City Bus Station
45030224	Stand 5 Leeds City Bus Station	-1.53569	53.79686	Leeds City Bus Station
45030225	Stand 6 Leeds City Bus Station	-1.53569	53.79689	Leeds City Bus Station
45030226	Stand 7 Leeds City Bus Station	-1.53569	53.79693	Leeds City Bus Station
45030227	Stand 8 Leeds City Bus Station	-1.53569	53.79697	Leeds City Bus Station
45030228	Stand 9 Leeds City Bus Station	-1.53569	53.797	Leeds City Bus Station
45030229	Stand 10 Leeds City Bus Station	-1.53569	53.79705	Leeds City Bus Station
45030230	Stand 11 Leeds City Bus Station	-1.53569	53.79708	Leeds City Bus Station
45030231	Stand 12 Leeds City Bus Station	-1.53569	53.79712	Leeds City Bus Station
45030232	Stand 13 Leeds City Bus Station	-1.53571	53.79715	Leeds City Bus Station
45030233	Stand 14 Leeds City Bus Station	-1.5357	53.7972	Leeds City Bus Station
45030234	Stand 15 Leeds City Bus Station	-1.5357	53.79723	Leeds City Bus Station
45030235	Stand 16 Leeds City Bus Station	-1.53569	53.79727	Leeds City Bus Station
45030236	Stand 17 Leeds City Bus Station	-1.5357	53.79731	Leeds City Bus Station
45030237	Stand 18 Leeds City Bus Station	-1.5357	53.79734	Leeds City Bus Station
45030238	Stand 19 Leeds City Bus Station	-1.5357	53.79738	Leeds City Bus Station
45030239	Stand 20 Leeds City Bus Station	-1.5357	53.79742	Leeds City Bus Station
45030240	Stand 21 Leeds City Bus Station	-1.5357	53.79746	Leeds City Bus Station
45030241	Stand 22 Leeds City Bus Station	-1.5357	53.79749	Leeds City Bus Station
45030242	Stand 23 Leeds City Bus Station	-1.5357	53.79753	Leeds City Bus Station
45030243	Stand 24 Leeds City Bus Station	-1.5357	53.79757	Leeds City Bus Station
45030244	Stand 25 Leeds City Bus Station	-1.5357	53.7976	Leeds City Bus Station
45030245	Stand 26 Leeds City Bus Station	-1.53572	53.79764	Leeds City Bus Station
45030246	K5 Corn Exchange	-1.54039	53.79627	Leeds City Centre
45030247	K6 Corn Exchange	-1.54024	53.79633	Leeds City Centre
45030248	Stand B Ainsleys Bakers	-1.54879	53.79769	Leeds City Centre
45030249	Stand C Cloth Hall Court	-1.54824	53.79738	Leeds City Centre
45030250	Stand D Cloth Hall Court	-1.54802	53.79719	Leeds City Centre
45030251	Stand E Yorkshire Bank	-1.54894	53.79767	Leeds City Centre
45030252	Stand F Yorkshire Bank	-1.54867	53.79751	Leeds City Centre
45030253	Stand G Cloth Hall Court	-1.5484	53.79735	Leeds City Centre
45030254	Stand A Elland Road Bus Park	-1.57102	53.7792	Beeston (Leeds)
45030255	Stand B Elland Road Bus Park	-1.56981	53.77919	Beeston (Leeds)
45030256	Stand C Elland Road Bus Park	-1.56938	53.77908	Beeston (Leeds)
45030257	Stand D Elland Road Bus Park	-1.56985	53.77934	Beeston (Leeds)
45030258	Stand E Elland Road Bus Park	-1.5695	53.77924	Beeston (Leeds)
45030259	Stand A Pontefract Bus Station	-1.30884	53.69285	Pontefract
45030260	Stand B Pontefract Bus Station	-1.30897	53.69299	Pontefract
45030261	Stand C Pontefract Bus Station	-1.3091	53.69314	Pontefract
45030262	Stand D Pontefract Bus Station	-1.30924	53.69328	Pontefract
45030263	Stand E Pontefract Bus Station	-1.30933	53.69352	Pontefract
45030264	Stand F Pontefract Bus Station	-1.30918	53.69336	Pontefract
45030265	Stand G Pontefract Bus Station	-1.30904	53.69322	Pontefract
45030266	Stand H Pontefract Bus Station	-1.30889	53.69308	Pontefract
45030267	Stand J Pontefract Bus Station	-1.30876	53.69293	Pontefract
45030268	Stand A Hemsworth Bus Station	-1.35322	53.61304	Hemsworth (Pontefract)
45030269	Hemsworth Bus Stationstand B	-1.35301	53.61284	Hemsworth (Pontefract)
45030270	Stand C Hemsworth Bus Station	-1.35294	53.61266	Hemsworth (Pontefract)
45030271	Stand D Hemsworth Bus Station	-1.35287	53.61248	Hemsworth (Pontefract)
45030272	Stand 1 South Elmsall Bus Station	-1.28678	53.5937	South Elmsall
45030273	Stand 2 South Elmsall Bus Station	-1.28667	53.59389	South Elmsall
45030274	Stand 3 South Elmsall Bus Station	-1.28687	53.59396	South Elmsall
45030275	Stand 4 South Elmsall Bus Station	-1.2872	53.59408	South Elmsall
45030276	Stand 1 Ossett Bus Station	-1.57824	53.68093	Ossett
45030277	Stand 2 Ossett Bus Station	-1.57803	53.68083	Ossett
45030278	Stand 3 Ossett Bus Station	-1.57777	53.68072	Ossett
45030279	Stand 4 Ossett Bus Station	-1.57755	53.68061	Ossett
45030280	Stand 5 Ossett Bus Station	-1.57761	53.68067	Ossett
45030281	Stand 6 Ossett Bus Station	-1.57783	53.68077	Ossett
45030282	Stand 7 Ossett Bus Station	-1.57812	53.6809	Ossett
45030283	Stand 8 Ossett Bus Station	-1.57827	53.68099	Ossett
45030284	Stand A1 Halifax Bus Station	-1.85923	53.7246	Halifax Town Centre
45030285	Stand A2 Halifax Bus Station	-1.85891	53.72467	Halifax Town Centre
45030286	Stand A3 Halifax Bus Station	-1.85866	53.72472	Halifax Town Centre
45030287	Stand A4 Halifax Bus Station	-1.8584	53.72478	Halifax Town Centre
45030288	Stand A5 Halifax Bus Station	-1.85816	53.72483	Halifax Town Centre
45030289	Stand A6 Halifax Bus Station	-1.85784	53.72505	Halifax Town Centre
45030290	Stand A7 Halifax Bus Station	-1.85793	53.72521	Halifax Town Centre
45030291	Stand B1 Halifax Bus Station	-1.85916	53.72473	Halifax Town Centre
45030292	Stand B2 Halifax Bus Station	-1.85885	53.7248	Halifax Town Centre
45030293	Stand B3 Halifax Bus Station	-1.8586	53.72486	Halifax Town Centre
45030294	Stand B4 Halifax Bus Station	-1.85834	53.72492	Halifax Town Centre
45030295	Stand C1 Halifax Bus Station	-1.85913	53.72487	Halifax Town Centre
45030296	Stand C2 Halifax Bus Station	-1.85882	53.72493	Halifax Town Centre
45030297	Stand C3 Halifax Bus Station	-1.85857	53.72499	Halifax Town Centre
45030298	Stand C4 Halifax Bus Station	-1.85831	53.72506	Halifax Town Centre
45030299	Stand D1 Halifax Bus Station	-1.85907	53.725	Halifax Town Centre
45030300	Stand D2 Halifax Bus Station	-1.85876	53.72506	Halifax Town Centre
45030301	Stand E1 Halifax Bus Station	-1.85832	53.72535	Halifax Town Centre
45030302	Stand E2 Halifax Bus Station	-1.85858	53.72535	Halifax Town Centre
45030303	Stand E3 Halifax Bus Station	-1.8589	53.72535	Halifax Town Centre
45030304	WHITE ROSE CENTRE	-1.57122	53.75651	Churwell
45030305	WHITE ROSE CENTRE	-1.57167	53.75712	Churwell
45030306	Stand 9 Shelley High School	-1.66486	53.59277	Skelmanthorpe
45030307	Stand 8 Shelley High School	-1.6651	53.59263	Skelmanthorpe
45030308	Stand 7 Shelley High School	-1.66547	53.59254	Skelmanthorpe
45030309	Stand 6 Shelley High School	-1.66586	53.59258	Skelmanthorpe
45030310	Stand 5 Shelley High School	-1.66615	53.59271	Skelmanthorpe
45030311	Stand 4 Shelley High School	-1.66628	53.59289	Skelmanthorpe
45030312	Stand 3 Shelley High School	-1.66626	53.59311	Skelmanthorpe
45030313	Stand 2 Shelley High School	-1.66617	53.59324	Skelmanthorpe
45030314	Stand 1 Shelley High School	-1.66605	53.59342	Skelmanthorpe
45030315	Stand A Seacroft Bus Station	-1.45901	53.82168	Seacroft
45030316	Stand B Seacroft Bus Station	-1.45931	53.8217	Seacroft
45030317	Stand C Seacroft Bus Station	-1.45931	53.82178	Seacroft
45030318	Stand D Seacroft Bus Station	-1.45931	53.82185	Seacroft
45030319	Stand E Seacroft Bus Station	-1.45932	53.82192	Seacroft
45030320	Stand A White Rose Centre Bus Station	-1.57438	53.76048	Churwell
45030321	Stand B White Rose Centre Bus Station	-1.57449	53.76044	Churwell
45030322	Stand C White Rose Centre Bus Station	-1.57458	53.76042	Churwell
45030323	Stand D White Rose Centre Bus Station	-1.57467	53.76039	Churwell
45030324	Stand E White Rose Centre Bus Station	-1.57478	53.76037	Churwell
45030325	Stand F White Rose Centre Bus Station	-1.57487	53.76034	Churwell
45030326	Stand G White Rose Centre Bus Station	-1.57496	53.76031	Churwell
45030327	Stand H White Rose Centre Bus Station	-1.57507	53.76029	Churwell
45030328	Stand D Brighouse Bus Station	-1.78086	53.70262	Brighouse
45030329	Stand C Brighouse Bus Station	-1.78105	53.70265	Brighouse
45030330	Stand B Brighouse Bus Station	-1.78081	53.70268	Brighouse
45030331	Stand 1 Wakefield Bus Station	-1.49769	53.68527	Wakefield City Centre
45010001	Bodmin Road Helston Walk	-1.56196	53.7519	Middleton (Leeds)
45010002	Bodmin Road Padstow Gardens	-1.55994	53.74859	Middleton (Leeds)
45010003	Bodmin Road Padstow Place	-1.5574	53.74642	Middleton (Leeds)
45010004	Bodmin Crescent Sissons Terrace	-1.55498	53.74511	Middleton (Leeds)
45010005	Ring Road Beeston Helston Croft	-1.55925	53.7521	Middleton (Leeds)
45010006	Ring Road Beeston Park Bodmin Road	-1.56003	53.7532	Middleton (Leeds)
45010007	Middleton District Centre	-1.53126	53.74899	Belle Isle (Leeds)
45010008	Middleton District Centre	-1.53125	53.74901	Belle Isle (Leeds)
45010009	St Georges Road Middleton Shopping Centre	-1.53137	53.74896	Belle Isle (Leeds)
45010010	Ring Road Middleton	-1.53395	53.74911	Middleton (Leeds)
45010011	Middleton Park Road Lingwell Road	-1.54236	53.74832	Middleton (Leeds)
45010012	Middleton Arms	-1.54752	53.7478	Middleton (Leeds)
45010013	Middleton Park Avenue Throstle Lane	-1.54777	53.74229	Middleton (Leeds)
45010015	Sissons Terrace Throstle Lane	-1.55269	53.74234	Middleton (Leeds)
45010016	Acre Road Sissons Lane	-1.55003	53.74375	Middleton (Leeds)
45010017	Middleton Arms	-1.5492	53.74821	Middleton (Leeds)
45010018	Belle Isle Sharp House	-1.52137	53.74675	Robin Hood (Rothwell)
45010019	Sharp Lane Throstle Road	-1.52592	53.74943	Belle Isle (Leeds)
45010020	Throstle Road Cranmore Road	-1.52601	53.74975	Belle Isle (Leeds)
45010021	Broom Place Middleton Ring Road	-1.51916	53.75553	Belle Isle (Leeds)
45010022	Ring Road Middleton Lea Park Drive	-1.51894	53.76009	Belle Isle (Leeds)
45010023	Ring Road Middleton Middlecroft Close	-1.51775	53.7624	Belle Isle (Leeds)
45010024	Ring Road Middleton Middlecroft Road	-1.51803	53.76288	Belle Isle (Leeds)
45010025	Middleton Road East Grange Drive	-1.52433	53.76772	Hunslet Carr
45010026	Middleton Road Parnaby Road	-1.52381	53.76995	Hunslet Carr
45010027	Pepper Road Leasowe Road	-1.52228	53.77201	Hunslet Carr
45010028	Balm Road Playfair Road	-1.53049	53.77347	Hunslet Carr
45010029	Balm Road Sandon Place	-1.53086	53.77166	Hunslet Carr
45010030	Balm Road Moor Road	-1.53108	53.77202	Hunslet Carr
45010031	Belle Isle Road Low Grange Crescent	-1.52864	53.76545	Hunslet Carr
45010032	Belle Isle Road Middleton Road	-1.52657	53.75787	Belle Isle (Leeds)
45010033	Town Street Lanshaw View	-1.53011	53.75277	Belle Isle (Leeds)
45010034	Town Street Lanshaw View	-1.53034	53.75277	Belle Isle (Leeds)
45010035	Middleton Centre	-1.53274	53.74955	Belle Isle (Leeds)
45010036	Town Street Dunlin Drive	-1.53139	53.75112	Belle Isle (Leeds)
